sid,bucket,fallback_length,search_found,search_valid,search_length,used,final_length,saved_vs_fallback,search_time_s
0,special,72,False,False,,fallback,72,0,11.5396
10,short,10,True,True,14,fallback,10,0,2.5318
20,short,20,False,False,,fallback,20,0,11.335
30,medium,26,False,False,,fallback,26,0,11.4401
40,medium,32,False,False,,fallback,32,0,11.4882
50,medium,48,False,False,,fallback,48,0,11.6968
60,medium,56,False,False,,fallback,56,0,11.7723
70,medium,66,False,False,,fallback,66,0,11.7484
80,medium,72,False,False,,fallback,72,0,11.7317
90,medium,78,False,False,,fallback,78,0,11.7575
100,medium,96,False,False,,fallback,96,0,11.9027
110,hard,100,False,False,,fallback,100,0,11.7885
120,hard,106,False,False,,fallback,106,0,11.6284
130,hard,118,False,False,,fallback,118,0,11.9778
140,hard,130,False,False,,fallback,130,0,11.5383
150,hard,144,False,False,,fallback,144,0,11.152
160,hard,146,False,False,,fallback,146,0,11.6135
170,hard,152,False,False,,fallback,152,0,11.5928
180,hard,166,False,False,,fallback,166,0,11.6971
190,hard,170,False,False,,fallback,170,0,11.6533
200,hard,188,False,False,,fallback,188,0,11.6709
210,hard,184,False,False,,fallback,184,0,11.6796
220,hard,192,False,False,,fallback,192,0,11.6805
230,hard,206,False,False,,fallback,206,0,11.682
240,hard,208,False,False,,fallback,208,0,8.6999
250,hard,240,False,False,,fallback,240,0,7.6245
260,hard,246,False,False,,fallback,246,0,7.6714
270,hard,254,False,False,,fallback,254,0,7.6487
280,hard,258,False,False,,fallback,258,0,7.5708
290,hard,270,False,False,,fallback,270,0,7.7931
300,hard,284,False,False,,fallback,284,0,7.5408
310,hard,286,False,False,,fallback,286,0,7.8394
320,hard,290,False,False,,fallback,290,0,7.6158
330,hard,292,False,False,,fallback,292,0,7.6047
340,hard,308,False,False,,fallback,308,0,7.5446
350,hard,314,False,False,,fallback,314,0,7.5812
360,hard,324,False,False,,fallback,324,0,7.6712
370,hard,336,False,False,,fallback,336,0,7.7253
380,hard,350,False,False,,fallback,350,0,7.7336
390,hard,352,False,False,,fallback,352,0,7.72
400,hard,376,False,False,,fallback,376,0,7.4722
410,hard,358,False,False,,fallback,358,0,5.9777
420,hard,392,False,False,,fallback,392,0,6.0035
430,hard,376,False,False,,fallback,376,0,5.9653
440,hard,380,False,False,,fallback,380,0,5.9686
450,hard,412,False,False,,fallback,412,0,5.9522
460,hard,422,False,False,,fallback,422,0,5.9709
470,hard,420,False,False,,fallback,420,0,5.9574
480,hard,450,False,False,,fallback,450,0,5.9429
490,hard,442,False,False,,fallback,442,0,5.9608
500,hard,460,False,False,,fallback,460,0,5.9878
510,very_hard,468,False,False,,fallback,468,0,6.3161
520,very_hard,472,False,False,,fallback,472,0,6.3734
530,very_hard,488,False,False,,fallback,488,0,6.3812
540,very_hard,484,False,False,,fallback,484,0,6.368
550,very_hard,506,False,False,,fallback,506,0,6.3533
560,very_hard,516,False,False,,fallback,516,0,6.4479
570,very_hard,524,False,False,,fallback,524,0,6.3481
580,very_hard,538,False,False,,fallback,538,0,6.3244
590,very_hard,550,False,False,,fallback,550,0,6.3969
600,very_hard,552,False,False,,fallback,552,0,6.3661
610,very_hard,576,False,False,,fallback,576,0,6.336
620,very_hard,564,False,False,,fallback,564,0,6.3566
630,very_hard,578,False,False,,fallback,578,0,6.3724
640,very_hard,580,False,False,,fallback,580,0,6.354
650,very_hard,586,False,False,,fallback,586,0,6.5055
660,very_hard,608,False,False,,fallback,608,0,6.3849
670,very_hard,606,False,False,,fallback,606,0,6.4786
680,very_hard,620,False,False,,fallback,620,0,6.3871
690,very_hard,654,False,False,,fallback,654,0,6.4243
700,very_hard,646,False,False,,fallback,646,0,6.3594
710,very_hard,660,False,False,,fallback,660,0,6.2737
720,very_hard,662,False,False,,fallback,662,0,6.4713
730,very_hard,650,False,False,,fallback,650,0,6.3847
740,very_hard,690,False,False,,fallback,690,0,6.377
750,very_hard,702,False,False,,fallback,702,0,6.3871
760,very_hard,688,False,False,,fallback,688,0,6.3523
770,very_hard,696,False,False,,fallback,696,0,6.1793
780,very_hard,732,False,False,,fallback,732,0,6.1793
790,very_hard,734,False,False,,fallback,734,0,6.273
800,very_hard,738,False,False,,fallback,738,0,6.4088
810,very_hard,734,False,False,,fallback,734,0,6.4213
820,very_hard,732,False,False,,fallback,732,0,6.3885
830,very_hard,766,False,False,,fallback,766,0,6.5928
840,very_hard,770,False,False,,fallback,770,0,6.5717
850,very_hard,778,False,False,,fallback,778,0,6.3931
860,very_hard,790,False,False,,fallback,790,0,6.5833
870,very_hard,784,False,False,,fallback,784,0,6.6008
880,very_hard,804,False,False,,fallback,804,0,6.5983
890,very_hard,806,False,False,,fallback,806,0,6.6005
900,very_hard,818,False,False,,fallback,818,0,6.6009
910,very_hard,830,False,False,,fallback,830,0,6.4656
920,very_hard,840,False,False,,fallback,840,0,6.1006
930,very_hard,874,False,False,,fallback,874,0,6.0514
940,very_hard,862,False,False,,fallback,862,0,6.0154
950,very_hard,868,False,False,,fallback,868,0,6.0143
960,very_hard,890,False,False,,fallback,890,0,6.0122
970,very_hard,878,False,False,,fallback,878,0,6.0322
980,very_hard,904,False,False,,fallback,904,0,5.9992
990,very_hard,910,False,False,,fallback,910,0,6.022
1000,very_hard,928,False,False,,fallback,928,0,6.0191
