epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7214,1.42976,3.12,2.62618,1.65287,0,0.1438,0.02566,0.00014,3e-05,0.14328,0.00881,1e-05,0,nan,nan,nan,nan,0,0.0032967,0.0032967,0.0703297
2,50.0857,1.44042,2.87355,2.16655,1.63472,0,0.1871,0.21999,0.0364,0.01321,0.16986,0.13562,0.02722,0.00981,2.48754,13.0347,92.5092,3.4023,0,0.00649876,0.00649876,0.0401984
3,68.3308,1.36595,2.71895,2.00505,1.5838,0,0.74205,0.18246,0.17538,0.08772,0.72599,0.157,0.14159,0.04811,2.17047,12.6264,11.2653,2.69816,0,0.00956882,0.00956882,0.00993512
4,87.0428,1.29479,2.55824,1.86201,1.52659,0,0.51465,0.20421,0.13581,0.06643,0.505,0.1672,0.11354,0.05445,2.07927,5.57265,7.59299,2.49692,0,0.009406,0.009406,0.009406
5,105.501,1.21206,2.44087,1.73435,1.4651,0,0.56052,0.27982,0.301,0.17172,0.54699,0.30061,0.29594,0.16441,1.77024,3.70565,2.61229,2.1345,0,0.009208,0.009208,0.009208
6,123.863,1.18385,2.36282,1.70592,1.44692,0,0.42108,0.31113,0.28615,0.17543,0.42338,0.31805,0.29443,0.17118,1.6728,3.27913,2.78001,2.02521,0,0.00901,0.00901,0.00901
7,142.064,1.11206,2.21768,1.58064,1.3916,0,0.65615,0.32699,0.24912,0.11296,0.63969,0.31599,0.23295,0.10408,1.75567,5.36642,6.39336,2.14664,0,0.008812,0.008812,0.008812
8,160.244,1.09185,2.07825,1.51115,1.3762,0,0.37606,0.54868,0.41119,0.23767,0.4132,0.51158,0.3996,0.22321,1.50122,2.90255,2.15832,1.88657,0,0.008614,0.008614,0.008614
9,178.71,1.06962,2.0484,1.48395,1.35992,0,0.39775,0.53644,0.46209,0.27545,0.36482,0.5245,0.44728,0.24978,1.43637,2.82331,2.16414,1.73691,0,0.008416,0.008416,0.008416
10,197.232,1.01468,1.97056,1.40018,1.32722,0,0.40427,0.46504,0.38363,0.24717,0.61743,0.3574,0.35907,0.2243,1.47598,3.00758,2.2515,1.84944,0,0.008218,0.008218,0.008218
11,215.553,0.98508,1.89702,1.35876,1.30809,0,0.42571,0.45624,0.38917,0.22005,0.39224,0.45196,0.3568,0.17084,1.57483,3.65829,2.18184,1.92557,0,0.00802,0.00802,0.00802
